127.0.0.1, 2021-05-26 11:15:56, GET, /admin/default/cleanup/movies, HTTP/1.1, 303, 0.019000
127.0.0.1, 2021-05-26 11:15:56, GET, /admin/default/site, HTTP/1.1, 200, 0.031995
127.0.0.1, 2021-05-26 11:15:56, GET, /favicon.ico, HTTP/1.1, 400, 0.001003
127.0.0.1, 2021-05-26 11:16:12, GET, /movies/static/movies/index.html, HTTP/1.1, 304, 0.000000
127.0.0.1, 2021-05-26 11:25:03, GET, /movies/static/movies/index.html, HTTP/1.1, 200, 0.002194
127.0.0.1, 2021-05-26 11:25:10, POST, /default/call/json/get_recommendations, HTTP/1.1, 404, 0.001992
127.0.0.1, 2021-05-26 11:25:21, POST, /default/call/json/get_recommendations, HTTP/1.1, 404, 0.000000
127.0.0.1, 2021-05-26 11:25:33, POST, /default/call/json/get_recommendations, HTTP/1.1, 404, 0.000000
127.0.0.1, 2021-05-26 11:26:57, GET, /movies/static/movies/index.html, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-05-26 11:27:06, POST, /default/call/json/get_recommendations, HTTP/1.1, 404, 0.000000
127.0.0.1, 2021-05-26 11:28:20, GET, /, HTTP/1.1, 303, 0.851677
127.0.0.1, 2021-05-26 11:28:20, GET, /welcome/default/index, HTTP/1.1, 200, 0.231979
127.0.0.1, 2021-05-26 11:28:20, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2021-05-26 11:28:29, GET, /admin/default/cleanup/movies, HTTP/1.1, 303, 0.207960
127.0.0.1, 2021-05-26 11:28:29, GET, /admin/default/site, HTTP/1.1, 200, 0.055997
127.0.0.1, 2021-05-26 11:28:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-05-26 11:28:34, GET, /movies/static/movies/index.html, HTTP/1.1, 304, 0.000000
127.0.0.1, 2021-05-26 11:28:40, POST, /default/call/json/get_recommendations, HTTP/1.1, 404, 0.007997
127.0.0.1, 2021-05-26 11:28:47, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 200, 3.845314
127.0.0.1, 2021-05-26 11:28:48, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 200, 3.011335
127.0.0.1, 2021-05-26 11:29:07, GET, /movies/static/movies/index.html, HTTP/1.1, 304, 0.000000
127.0.0.1, 2021-05-26 11:29:16, POST, /default/call/json/get_recommendations, HTTP/1.1, 404, 0.000000
127.0.0.1, 2021-05-26 11:30:15, GET, /movies/static/movies/index.html, HTTP/1.1, 404, 0.000000
127.0.0.1, 2021-05-26 11:30:56, GET, /movies/static/movies/index.html, HTTP/1.1, 200, 0.024006
127.0.0.1, 2021-05-26 11:30:56, GET, /movie_recommendation/static/vendor/bootstrap/css/bootstrap.min.css, HTTP/1.1, 404, 0.000000
127.0.0.1, 2021-05-26 11:30:56, GET, /movie_recommendation/static/vendor/vue.js, HTTP/1.1, 404, 0.007993
127.0.0.1, 2021-05-26 11:30:56, GET, /movie_recommendation/static/vendor/vue-ratings.js, HTTP/1.1, 404, 0.000000
127.0.0.1, 2021-05-26 11:30:56, GET, /movie_recommendation/static/vendor/jquery.min.js, HTTP/1.1, 404, 0.000000
127.0.0.1, 2021-05-26 11:30:56, GET, /movie_recommendation/static/vendor/custom.css, HTTP/1.1, 404, 0.000000
127.0.0.1, 2021-05-26 11:30:56, GET, /movie_recommendation/static/vendor/bootstrap/js/bootstrap.bundle.min.js, HTTP/1.1, 404, 0.000000
